Sr No,Fund Name,AmfiCode,Nav Date,Nav,Benchmark Name,Benchmark Value
786,Kotak Equity Opportunities Fund,120158,14-Mar-2016,77.283,Nifty LargeMidcap 250 TRI,4467.03
787,Kotak Equity Opportunities Fund,120158,15-Mar-2016,76.838,Nifty LargeMidcap 250 TRI,4428.84
788,Kotak Equity Opportunities Fund,120158,16-Mar-2016,77.015,Nifty LargeMidcap 250 TRI,4431.8
789,Kotak Equity Opportunities Fund,120158,17-Mar-2016,77.535,Nifty LargeMidcap 250 TRI,4452.03
790,Kotak Equity Opportunities Fund,120158,18-Mar-2016,78.269,Nifty LargeMidcap 250 TRI,4498.77
791,Kotak Equity Opportunities Fund,120158,21-Mar-2016,79.634,Nifty LargeMidcap 250 TRI,4561.47
792,Kotak Equity Opportunities Fund,120158,22-Mar-2016,79.909,Nifty LargeMidcap 250 TRI,4572.64
793,Kotak Equity Opportunities Fund,120158,23-Mar-2016,79.991,Nifty LargeMidcap 250 TRI,4577.15
794,Kotak Equity Opportunities Fund,120158,28-Mar-2016,78.891,Nifty LargeMidcap 250 TRI,4513.76
795,Kotak Equity Opportunities Fund,120158,29-Mar-2016,78.769,Nifty LargeMidcap 250 TRI,4509.39
796,Kotak Equity Opportunities Fund,120158,30-Mar-2016,79.801,Nifty LargeMidcap 250 TRI,4589.14
797,Kotak Equity Opportunities Fund,120158,31-Mar-2016,80.24,Nifty LargeMidcap 250 TRI,4613.85
798,Kotak Equity Opportunities Fund,120158,01-Apr-2016,80.04,Nifty LargeMidcap 250 TRI,4619.35
799,Kotak Equity Opportunities Fund,120158,04-Apr-2016,80.395,Nifty LargeMidcap 250 TRI,4638.83
800,Kotak Equity Opportunities Fund,120158,05-Apr-2016,79.175,Nifty LargeMidcap 250 TRI,4557.88
801,Kotak Equity Opportunities Fund,120158,06-Apr-2016,79.469,Nifty LargeMidcap 250 TRI,4573.74
802,Kotak Equity Opportunities Fund,120158,07-Apr-2016,78.924,Nifty LargeMidcap 250 TRI,4542.72
803,Kotak Equity Opportunities Fund,120158,08-Apr-2016,79.255,Nifty LargeMidcap 250 TRI,4560.46
804,Kotak Equity Opportunities Fund,120158,11-Apr-2016,80.222,Nifty LargeMidcap 250 TRI,4613.03
805,Kotak Equity Opportunities Fund,120158,12-Apr-2016,80.927,Nifty LargeMidcap 250 TRI,4647.84
806,Kotak Equity Opportunities Fund,120158,13-Apr-2016,82.127,Nifty LargeMidcap 250 TRI,4716.87
807,Kotak Equity Opportunities Fund,120158,18-Apr-2016,82.961,Nifty LargeMidcap 250 TRI,4763.2
808,Kotak Equity Opportunities Fund,120158,20-Apr-2016,82.776,Nifty LargeMidcap 250 TRI,4777.01
809,Kotak Equity Opportunities Fund,120158,21-Apr-2016,82.687,Nifty LargeMidcap 250 TRI,4760.92
810,Kotak Equity Opportunities Fund,120158,22-Apr-2016,82.748,Nifty LargeMidcap 250 TRI,4757.82
811,Kotak Equity Opportunities Fund,120158,25-Apr-2016,82.371,Nifty LargeMidcap 250 TRI,4738.97
812,Kotak Equity Opportunities Fund,120158,26-Apr-2016,83.078,Nifty LargeMidcap 250 TRI,4788.49
813,Kotak Equity Opportunities Fund,120158,27-Apr-2016,83.097,Nifty LargeMidcap 250 TRI,4797.21
814,Kotak Equity Opportunities Fund,120158,28-Apr-2016,81.981,Nifty LargeMidcap 250 TRI,4729.73
815,Kotak Equity Opportunities Fund,120158,29-Apr-2016,82.04,Nifty LargeMidcap 250 TRI,4733.2
816,Kotak Equity Opportunities Fund,120158,02-May-2016,82.249,Nifty LargeMidcap 250 TRI,4737.15
817,Kotak Equity Opportunities Fund,120158,03-May-2016,81.708,Nifty LargeMidcap 250 TRI,4707
818,Kotak Equity Opportunities Fund,120158,04-May-2016,81.298,Nifty LargeMidcap 250 TRI,4669.6
819,Kotak Equity Opportunities Fund,120158,05-May-2016,81.431,Nifty LargeMidcap 250 TRI,4670.42
820,Kotak Equity Opportunities Fund,120158,06-May-2016,81.361,Nifty LargeMidcap 250 TRI,4674.69
821,Kotak Equity Opportunities Fund,120158,09-May-2016,82.334,Nifty LargeMidcap 250 TRI,4741.94
822,Kotak Equity Opportunities Fund,120158,10-May-2016,82.457,Nifty LargeMidcap 250 TRI,4749.27
823,Kotak Equity Opportunities Fund,120158,11-May-2016,82.416,Nifty LargeMidcap 250 TRI,4733.73
824,Kotak Equity Opportunities Fund,120158,12-May-2016,83.075,Nifty LargeMidcap 250 TRI,4767.13
825,Kotak Equity Opportunities Fund,120158,13-May-2016,82.662,Nifty LargeMidcap 250 TRI,4740.51
826,Kotak Equity Opportunities Fund,120158,16-May-2016,82.711,Nifty LargeMidcap 250 TRI,4753.5
827,Kotak Equity Opportunities Fund,120158,17-May-2016,83.047,Nifty LargeMidcap 250 TRI,4767.74
828,Kotak Equity Opportunities Fund,120158,18-May-2016,82.969,Nifty LargeMidcap 250 TRI,4767.6
829,Kotak Equity Opportunities Fund,120158,19-May-2016,82.341,Nifty LargeMidcap 250 TRI,4709.58
830,Kotak Equity Opportunities Fund,120158,20-May-2016,81.596,Nifty LargeMidcap 250 TRI,4687.17
831,Kotak Equity Opportunities Fund,120158,23-May-2016,81.196,Nifty LargeMidcap 250 TRI,4673.32
832,Kotak Equity Opportunities Fund,120158,24-May-2016,81.093,Nifty LargeMidcap 250 TRI,4671.16
